,Actor,Behavior,start_time,end_time
7,ID1,stand up,1534400680081,1534400683981
9,ID1,walk up,1534400684081,1534400689781
11,ID1,walk down,1534400689881,1534400691581
12,ID1,stand down,1534400691681,1534400698281
14,ID1,walk up,1534400698381,1534400704881
17,ID1,stand up,1534400704981,1534400708481
21,ID1,walk up,1534400708581,1534400711981
23,ID1,stand up,1534400712081,1534400717981
24,ID1,walk up,1534400718081,1534400737381
27,ID1,walk down,1534400737481,1534400738181
28,ID1,walk up,1534400738281,1534400742081
29,ID1,stand up,1534400742181,1534400751181
32,ID1,walk down,1534400751281,1534400752581
34,ID1,stand down,1534400752681,1534400762981
37,ID1,stand up,1534400763081,1534400764481
38,ID1,walk up,1534400764581,1534400770681
40,ID1,stand up,1534400770781,1534400773081
41,ID1,stand down,1534400773181,1534400776581
42,ID1,walk up,1534400776681,1534400777281
43,ID1,walk down,1534400777381,1534400779681
44,ID1,stand up,1534400779781,1534400781181
45,ID1,walk down,1534400781281,1534400782781
46,ID1,stand down,1534400782881,1534400788081
48,ID1,stand up,1534400788181,1534400808581
50,ID1,walk up,1534400808681,1534400812281
52,ID1,stand up,1534400812381,1534400814181
53,ID1,walk up,1534400814281,1534400817181
54,ID1,walk down,1534400817281,1534400818181
55,ID1,stand down,1534400818281,1534400830181
57,ID1,stand up,1534400830281,1534400833981
58,ID1,stand down,1534400834081,1534400841281
59,ID1,stand up,1534400841381,1534400880081
62,ID1,stand down,1534400880181,1534400885581
64,ID1,stand up,1534400885681,1534400897081
66,ID1,stand down,1534400897181,1534400908081
68,ID1,stand up,1534400908181,1534400910681
69,ID1,walk up,1534400910781,1534400911581
70,ID1,walk down,1534400911681,1534400912781
71,ID1,stand down,1534400912881,1534400913981
72,ID1,ramble down,1534400914081,1534400919081
73,ID1,walk up,1534400919181,1534400937381
82,ID1,stand down,1534400937481,1534400945881
84,ID1,walk up,1534400945981,1534400957181
89,ID1,stand down,1534400957281,1534400962381
91,ID1,walk up,1534400962481,1534400973581
93,ID1,stand down,1534400973681,1534400977181
95,ID1,ramble down,1534400977281,1534400979881
96,ID1,walk down,1534400979981,1534400984281
98,ID1,stand down,1534400984381,1534400991281
100,ID1,walk up,1534400991381,1534401002581
103,ID1,walk down,1534401002681,1534401004481
104,ID1,stand down,1534401004581,1534401010981
106,ID1,walk up,1534401011081,1534401017781
109,ID1,stand down,1534401017881,1534401019881
112,ID1,stand up,1534401019981,1534401023481
114,ID1,walk down,1534401023581,1534401024081
115,ID1,stand down,1534401024181,1534401027681
117,ID1,walk up,1534401027781,1534401035981
119,ID1,stand up,1534401036081,1534401042581
121,ID1,ramble up,1534401042681,1534401043581
122,ID1,walk up,1534401043681,1534401047281
124,ID1,walk down,1534401047381,1534401048181
125,ID1,stand up,1534401048281,1534401057581
128,ID1,walk down,1534401057681,1534401062981
131,ID1,stand down,1534401063081,1534401086181
133,ID1,walk up,1534401086281,1534401088781
134,ID1,stand up,1534401088881,1534401094081
136,ID1,ramble down,1534401097381,1534401106181
138,ID1,stand down,1534401106281,1534401114081
140,ID1,stand up,1534401114181,1534401116081
141,ID1,stand down,1534401116181,1534401119481
142,ID1,walk up,1534401119581,1534401121081
143,ID1,stand up,1534401121181,1534401222181
146,ID1,walk up,1534401222281,1534401231181
151,ID1,stand down,1534401231281,1534401233581
152,ID1,stand up,1534401233681,1534401234181
153,ID1,stand down,1534401234281,1534401239981
155,ID1,walk up,1534401240081,1534401243681
157,ID1,stand down,1534401243781,1534401269581
159,ID1,stand up,1534401269681,1534401276281
160,ID1,stand down,1534401276381,1534401281881
161,ID1,stand up,1534401281981,1534401283581
162,ID1,stand down,1534401283681,1534401323381
163,ID1,stand up,1534401323481,1534401327881
164,ID1,stand down,1534401327981,1534401374681
165,ID1,stand up,1534401374781,1534401375281
166,ID1,stand down,1534401375381,1534401397181
168,ID1,stand up,1534401397281,1534401398781
169,ID1,stand down,1534401398881,1534401404681
170,ID1,stand up,1534401404781,1534401407381
171,ID1,walk down,1534401407481,1534401411181
173,ID1,stand down,1534401411281,1534401417681
174,ID1,stand up,1534401417781,1534401419681
175,ID1,walk down,1534401419781,1534401435581
178,ID1,stand down,1534401435681,1534401438281
179,ID1,walk down,1534401438381,1534401444081
180,ID1,stand down,1534401444181,1534401446481
182,ID1,stand up,1534401446581,1534401455681
184,ID1,walk down,1534401455781,1534401457481
186,ID1,stand down,1534401457581,1534401485381
188,ID1,stand up,1534401485481,1534401486181
189,ID1,trot,1534401486281,1534401488081
190,ID1,walk up,1534401488181,1534401490181
192,ID1,trot,1534401490281,1534401495781
193,ID1,stand down,1534401495881,1534401501681
195,ID1,walk up,1534401501781,1534401503181
197,ID1,stand down,1534401503281,1534401505281
198,ID1,walk up,1534401505381,1534401505581
199,ID1,walk down,1534401505681,1534401517081
204,ID1,walk up,1534401517181,1534401517981
206,ID1,trot,1534401518081,1534401522081
207,ID1,walk up,1534401522181,1534401552581
219,ID1,stand down,1534401552681,1534401569681
223,ID1,walk up,1534401569781,1534401578281
226,ID1,stand up,1534401578381,1534401579881
227,ID1,jump,1534401579981,1534401580481
228,ID1,stand up,1534401580581,1534401583381
229,ID1,canter_left lead,1534401583481,1534401585181
230,ID1,walk up,1534401585281,1534401588981
231,ID1,walk down,1534401589081,1534401597481
232,ID1,stand down,1534401597581,1534401608681
235,ID1,stand up,1534401608781,1534401610081
236,ID1,walk up,1534401610181,1534401611881
238,ID1,stand down,1534401611981,1534401617581
240,ID1,walk up,1534401617681,1534401632381
247,ID1,stand down,1534401632481,1534401642481
249,ID1,walk down,1534401642581,1534401646381
253,ID1,walk up,1534401646481,1534401652781
256,ID1,walk down,1534401652881,1534401655481
257,ID1,stand down,1534401655581,1534401703481
262,ID1,stand up,1534401703581,1534401711181
264,ID1,walk up,1534401711281,1534401712881
265,ID1,stand down,1534401712981,1534401714181
266,ID1,stand up,1534401714281,1534401717481
267,ID1,walk up,1534401717581,1534401717981
268,ID1,stand up,1534401718081,1534401721281
269,ID1,canter_unk,1534401721381,1534401724181
273,ID1,walk up,1534401733781,1534401748881
276,ID1,stand up,1534401748981,1534401761281
279,ID1,walk up,1534401761381,1534401768581
282,ID1,stand up,1534401768681,1534401808581
287,ID1,stand down,1534401808681,1534401817481
298,ID1,walk up,1534401832481,1534401835181
300,ID1,walk down,1534401835281,1534401836781
301,ID1,walk up,1534401836881,1534401839381
302,ID1,ramble up,1534401839481,1534401840781
303,ID1,stand up,1534401840881,1534401845681
305,ID1,walk up,1534401845781,1534401847581
307,ID1,walk down,1534401847681,1534401850281
308,ID1,walk up,1534401850381,1534401856981
311,ID1,stand up,1534401857081,1534401859881
312,ID1,walk up,1534401859981,1534401862981
313,ID1,stand up,1534401863081,1534401867281
315,ID1,walk up,1534401867381,1534401870281
316,ID1,stand up,1534401870381,1534401872681
317,ID1,walk up,1534401872781,1534401880981
318,ID1,stand up,1534401881081,1534401883181
325,ID1,walk up,1534401901081,1534401925081
334,ID1,stand up,1534401925181,1534401928681
335,ID1,walk up,1534401928781,1534401931381
336,ID1,stand down,1534401931481,1534401973181
341,ID1,stand up,1534401973281,1534402014881
348,ID1,walk up,1534402014981,1534402031881
357,ID1,stand up,1534402031981,1534402033581
358,ID1,stand down,1534402033681,1534402034281
359,ID1,stand up,1534402034381,1534402034981
360,ID1,stand down,1534402035081,1534402048681
363,ID1,walk down,1534402048781,1534402051281
364,ID1,ramble down,1534402051381,1534402051981
365,ID1,stand down,1534402052081,1534402056081
366,ID1,ramble down,1534402056181,1534402058381
367,ID1,stand down,1534402058481,1534402061081
