"","Actor","Behavior","start.time","end.times"
"3","ID0","stand down",1534400517328,1534400537128
"10","ID0","walk up",1534400537228,1534400538628
"12","ID0","walk down",1534400538728,1534400548028
"13","ID0","stand down",1534400548128,1534400549528
"14","ID0","walk down",1534400549628,1534400551428
"15","ID0","stand down",1534400551528,1534400556228
"17","ID0","ramble down",1534400556328,1534400560728
"18","ID0","stand down",1534400560828,1534400602828
"20","ID0","ramble down",1534400602928,1534400603628
"21","ID0","stand down",1534400603728,1534400607528
"22","ID0","ramble down",1534400607628,1534400608428
"23","ID0","walk down",1534400608528,1534400609628
"24","ID0","stand down",1534400609728,1534400611128
"25","ID0","walk down",1534400611228,1534400612928
"26","ID0","stand down",1534400613028,1534400617628
"27","ID0","stand up",1534400617728,1534400666928
"29","ID0","walk up",1534400667028,1534400703528
"39","ID0","stand down",1534400703628,1534400711828
"42","ID0","stand up",1534400711928,1534400716428
"44","ID0","ramble down",1534400716528,1534400718628
"45","ID0","stand up",1534400718728,1534400736328
"46","ID0","ramble down",1534400736428,1534400737728
"47","ID0","stand up",1534400737828,1534400756428
"48","ID0","ramble down",1534400756528,1534400758328
"49","ID0","walk down",1534400758428,1534400773528
"54","ID0","stand up",1534400780528,1534400788228
"56","ID0","walk up",1534400788328,1534400795328
"59","ID0","stand up",1534400795428,1534400797028
"60","ID0","walk down",1534400797128,1534400806628
"62","ID0","stand down",1534400806728,1534400810628
"64","ID0","stand up",1534400810728,1534400812828
"65","ID0","stand down",1534400812928,1534400819928
"66","ID0","ramble down",1534400820028,1534400825928
"68","ID0","walk down",1534400826028,1534400832328
"71","ID0","stand down",1534400832428,1534400834028
"74","ID0","stand down",1534400925928,1534400930828
"76","ID0","stand up",1534400930928,1534400957528
"77","ID0","walk down",1534400957628,1534400970428
"78","ID0","stand down",1534400970528,1534400981828
"79","ID0","stand up",1534400981928,1534400990028
"80","ID0","stand down",1534400990128,1534400992428
"81","ID0","stand up",1534400992528,1534401003428
"82","ID0","stand down",1534401003528,1534401027928
"83","ID0","stand up",1534401028028,1534401031128
"84","ID0","stand down",1534401031228,1534401033028
"85","ID0","stand up",1534401033128,1534401033628
"86","ID0","stand down",1534401033728,1534401092328
"91","ID0","walk down",1534401092428,1534401098228
"94","ID0","stand down",1534401098328,1534401102128
"96","ID0","stand up",1534401102228,1534401116828
"98","ID0","walk up",1534401116928,1534401118628
"99","ID0","walk down",1534401118728,1534401119528
"100","ID0","stand down",1534401119628,1534401145228
"105","ID0","stand up",1534401145328,1534401148328
"106","ID0","walk up",1534401148428,1534401152028
"107","ID0","stand up",1534401152128,1534401163028
"110","ID0","stand down",1534401223728,1534401242528
"112","ID0","walk up",1534401242628,1534401245928
"113","ID0","stand down",1534401246028,1534401248028
"114","ID0","walk down",1534401248128,1534401252428
"116","ID0","stand up",1534401252528,1534401254028
"117","ID0","stand down",1534401254128,1534401258228
"119","ID0","ramble down",1534401258328,1534401267828
"120","ID0","stand down",1534401267928,1534401276028
"121","ID0","ramble down",1534401276128,1534401276828
"122","ID0","stand down",1534401276928,1534401282528
"123","ID0","ramble down",1534401282628,1534401288028
"124","ID0","stand down",1534401288128,1534401296928
"125","ID0","walk down",1534401297028,1534401304728
"127","ID0","stand down",1534401304828,1534401309928
"129","ID0","walk down",1534401310028,1534401314828
"130","ID0","stand down",1534401314928,1534401319228
"131","ID0","ramble down",1534401319328,1534401343628
"132","ID0","stand down",1534401343728,1534401353128
"133","ID0","ramble down",1534401353228,1534401398928
"134","ID0","stand down",1534401399028,1534401402628
"135","ID0","ramble down",1534401402728,1534401408928
"136","ID0","stand down",1534401409028,1534401416228
"137","ID0","ramble down",1534401416328,1534401419328
"138","ID0","walk down",1534401419428,1534401423128
