TIME,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z
1534395958,1.567382813,-0.874511719,-0.75390625,3.129770992,-6.160305344,-1.580152672
1534395958,1.564697266,-0.876464844,-0.758789063,2.977099237,-6.511450382,-1.374045802
1534395958,1.568359375,-0.874755859,-0.752197266,2.992366412,-6.41221374,-1.694656489
1534395958,1.563476563,-0.877441406,-0.754638672,3.381679389,-6.458015267,-1.473282443
1534395958,1.558349609,-0.876220703,-0.746337891,3.022900763,-6.473282443,-1.549618321
1534395958,1.563476563,-0.875488281,-0.749511719,3.435114504,-6.480916031,-1.595419847
1534395958,1.561767578,-0.872314453,-0.750488281,3.20610687,-6.65648855,-1.557251908
1534395958,1.569824219,-0.872314453,-0.753173828,3.053435115,-6.389312977,-1.282442748
1534395959,1.562988281,-0.873291016,-0.74609375,2.885496183,-6.320610687,-1.79389313
1534395959,1.569580078,-0.873046875,-0.748535156,3.213740458,-6.381679389,-1.748091603
1534395959,1.562988281,-0.874511719,-0.757324219,3.229007634,-6.465648855,-1.610687023
1534395959,1.565185547,-0.872070313,-0.760009766,3.030534351,-6.41221374,-1.58778626
1534395959,1.5625,-0.866699219,-0.744140625,3.122137405,-6.27480916,-1.65648855
1534395959,1.5625,-0.873291016,-0.751708984,3.229007634,-6.633587786,-1.961832061
1534395959,1.560546875,-0.874267578,-0.756835938,3.435114504,-6.305343511,-1.366412214
1534395959,1.563720703,-0.874755859,-0.758789063,3.091603053,-6.404580153,-1.374045802
1534395960,1.564208984,-0.873535156,-0.756103516,3.160305344,-6.305343511,-1.595419847
1534395960,1.569824219,-0.875488281,-0.754150391,3.076335878,-6.496183206,-1.763358779
1534395960,1.571777344,-0.87890625,-0.76171875,3.145038168,-6.450381679,-1.717557252
1534395960,1.561767578,-0.874511719,-0.747070313,2.885496183,-6.351145038,-1.824427481
1534395960,1.562744141,-0.869873047,-0.754150391,3.244274809,-6.34351145,-1.79389313
1534395960,1.567138672,-0.872558594,-0.754882813,2.954198473,-6.328244275,-1.618320611
1534395960,1.560302734,-0.876220703,-0.749755859,2.900763359,-6.404580153,-1.442748092
1534395960,1.561279297,-0.870849609,-0.7578125,3.038167939,-6.267175573,-1.603053435
1534395962,1.564453125,-0.877197266,-0.750732422,2.946564885,-6.312977099,-1.671755725
1534395962,1.563720703,-0.876953125,-0.751464844,2.893129771,-6.648854962,-1.458015267
1534395962,1.566162109,-0.868652344,-0.752685547,2.938931298,-6.183206107,-1.763358779
1534395962,1.565429688,-0.870605469,-0.757080078,3.259541985,-6.229007634,-1.694656489
1534395962,1.562255859,-0.874023438,-0.759277344,3.282442748,-6.458015267,-1.305343511
1534395962,1.558105469,-0.878173828,-0.747070313,3.160305344,-6.442748092,-1.603053435
1534395962,1.560546875,-0.878662109,-0.750976563,3.358778626,-6.488549618,-1.450381679
1534395962,1.564208984,-0.874755859,-0.760253906,3.13740458,-6.297709924,-1.595419847
1534395963,1.562255859,-0.878173828,-0.754150391,3.099236641,-6.34351145,-1.748091603
1534395963,1.564697266,-0.874511719,-0.740966797,2.93129771,-6.305343511,-1.847328244
1534395963,1.561279297,-0.876953125,-0.756835938,3.106870229,-6.465648855,-1.465648855
1534395963,1.562988281,-0.874267578,-0.759521484,3.198473282,-6.244274809,-1.404580153
1534395963,1.563720703,-0.87109375,-0.749023438,3.022900763,-6.335877863,-1.664122137
1534395963,1.565673828,-0.873291016,-0.762451172,3.175572519,-6.229007634,-1.580152672
1534395963,1.562744141,-0.874755859,-0.745849609,2.984732824,-6.41221374,-1.572519084
1534395963,1.557617188,-0.873779297,-0.760986328,3.221374046,-6.366412214,-1.229007634
1534395964,1.560546875,-0.874511719,-0.750244141,3.267175573,-6.183206107,-1.786259542
1534395964,1.566162109,-0.872070313,-0.748779297,3.213740458,-6.709923664,-1.480916031
1534395964,1.561767578,-0.872070313,-0.751464844,3.022900763,-6.320610687,-1.503816794
1534395964,1.564208984,-0.874755859,-0.746826172,3.374045802,-6.328244275,-1.664122137
1534395964,1.56640625,-0.875,-0.747070313,3.122137405,-6.465648855,-1.625954198
1534395964,1.559814453,-0.874511719,-0.751464844,3,-6.404580153,-1.358778626
1534395964,1.571289063,-0.871826172,-0.747558594,3.091603053,-6.419847328,-1.86259542
1534395964,1.570556641,-0.869628906,-0.747314453,2.93129771,-6.282442748,-1.671755725
1534395965,1.569091797,-0.872070313,-0.751464844,3.007633588,-6.358778626,-1.41221374
1534395965,1.555175781,-0.868652344,-0.754150391,3.190839695,-6.435114504,-1.801526718
