Actor,Behavior,start.time,end.times
ID1,stand up,1534400680081,1534400683981
ID1,walk up,1534400684081,1534400689781
ID1,walk down,1534400689881,1534400691581
ID1,stand down,1534400691681,1534400698281
ID1,walk up,1534400698381,1534400704881
ID1,stand up,1534400704981,1534400708481
ID1,walk up,1534400708581,1534400711981
ID1,stand up,1534400712081,1534400717981
ID1,walk up,1534400718081,1534400737381
ID1,walk down,1534400737481,1534400738181
ID1,walk up,1534400738281,1534400742081
ID1,stand up,1534400742181,1534400751181
ID1,walk down,1534400751281,1534400752581
ID1,stand down,1534400752681,1534400762981
ID1,stand up,1534400763081,1534400764481
ID1,walk up,1534400764581,1534400770681
ID1,stand up,1534400770781,1534400773081
ID1,stand down,1534400773181,1534400776581
ID1,walk up,1534400776681,1534400777281
ID1,walk down,1534400777381,1534400779681
ID1,stand up,1534400779781,1534400781181
ID1,walk down,1534400781281,1534400782781
ID1,stand down,1534400782881,1534400788081
ID1,stand up,1534400788181,1534400808581
ID1,walk up,1534400808681,1534400812281
ID1,stand up,1534400812381,1534400814181
ID1,walk up,1534400814281,1534400817181
ID1,walk down,1534400817281,1534400818181
ID1,stand down,1534400818281,1534400830181
ID1,stand up,1534400830281,1534400833981
ID1,stand down,1534400834081,1534400841281
ID1,stand up,1534400841381,1534400880081
ID1,stand down,1534400880181,1534400885581
ID1,stand up,1534400885681,1534400897081
ID1,stand down,1534400897181,1534400908081
ID1,stand up,1534400908181,1534400910681
ID1,walk up,1534400910781,1534400911581
ID1,walk down,1534400911681,1534400912781
ID1,stand down,1534400912881,1534400913981
ID1,ramble down,1534400914081,1534400919081
ID1,walk up,1534400919181,1534400937381
ID1,stand down,1534400937481,1534400945881
ID1,walk up,1534400945981,1534400957181
ID1,stand down,1534400957281,1534400962381
ID1,walk up,1534400962481,1534400973581
ID1,stand down,1534400973681,1534400977181
ID1,ramble down,1534400977281,1534400979881
ID1,walk down,1534400979981,1534400984281
ID1,stand down,1534400984381,1534400991281
ID1,walk up,1534400991381,1534401002581
ID1,walk down,1534401002681,1534401004481
ID1,stand down,1534401004581,1534401010981
ID1,walk up,1534401011081,1534401017781
ID1,stand down,1534401017881,1534401019881
ID1,stand up,1534401019981,1534401023481
ID1,walk down,1534401023581,1534401024081
ID1,stand down,1534401024181,1534401027681
ID1,walk up,1534401027781,1534401035981
ID1,stand up,1534401036081,1534401042581
ID1,ramble up,1534401042681,1534401043581
ID1,walk up,1534401043681,1534401047281
ID1,walk down,1534401047381,1534401048181
ID1,stand up,1534401048281,1534401057581
ID1,walk down,1534401057681,1534401062981
ID1,stand down,1534401063081,1534401086181
ID1,walk up,1534401086281,1534401088781
ID1,stand up,1534401088881,1534401094081
ID1,ramble down,1534401097381,1534401106181
ID1,stand down,1534401106281,1534401114081
ID1,stand up,1534401114181,1534401116081
ID1,stand down,1534401116181,1534401119481
ID1,walk up,1534401119581,1534401121081
ID1,stand up,1534401121181,1534401222181
ID1,walk up,1534401222281,1534401231181
ID1,stand down,1534401231281,1534401233581
ID1,stand up,1534401233681,1534401234181
ID1,stand down,1534401234281,1534401239981
ID1,walk up,1534401240081,1534401243681
ID1,stand down,1534401243781,1534401269581
ID1,stand up,1534401269681,1534401276281
ID1,stand down,1534401276381,1534401281881
ID1,stand up,1534401281981,1534401283581
ID1,stand down,1534401283681,1534401323381
ID1,stand up,1534401323481,1534401327881
ID1,stand down,1534401327981,1534401374681
ID1,stand up,1534401374781,1534401375281
ID1,stand down,1534401375381,1534401397181
ID1,stand up,1534401397281,1534401398781
ID1,stand down,1534401398881,1534401404681
ID1,stand up,1534401404781,1534401407381
ID1,walk down,1534401407481,1534401411181
ID1,stand down,1534401411281,1534401417681
ID1,stand up,1534401417781,1534401419681
ID1,walk down,1534401419781,1534401435581
ID1,stand down,1534401435681,1534401438281
ID1,walk down,1534401438381,1534401444081
ID1,stand down,1534401444181,1534401446481
ID1,stand up,1534401446581,1534401455681
ID1,walk down,1534401455781,1534401457481
